,Unnamed: 0,Tweets,Dates,Longitude,Latitude,Sentiment
0,0,"It was great to host our colleagues from @EC_StockholmRep today at our premises.

Talked about our mission and poss… https://t.co/sPfc9ekcMQ",2020-01-16,16.1663744096936,9.550687969275451,neutral
1,1,#phep #globalhealth #Ebola #smem https://t.co/M3yjsPeR46,2020-01-16,19.108681314494174,1.4905259248982867,positive
2,2,#Ebola in #DRC . Cases traced to Mabalako still fueling DRC Ebola outbreak https://t.co/R1TTcNymSf,2020-01-16,25.583233749622025,4.603583640958194,neutral
3,3,"My first opinion piece for 2020 is for Project Syndicate @ProSyn : 👉👉 Why an #Ebola Vaccine Is Not Enough.
https://t.co/4SHKubijCc",2020-01-16,24.275155951280485,13.113787965650603,neutral
4,4,"Ease of movement in #DRC allows people to put food on the table, keep children in school, sell goods &amp; seek refuge… https://t.co/OiM6QYl4Ej",2020-01-16,26.29957501244938,7.722875275292923,neutral
5,5,Advanced #Diagnostics for Infectious Disease's final program is now online! Our opening session features… https://t.co/RzUX36vOm4,2020-01-16,19.75447027531003,0.6868137974746653,neutral
6,6,Great to see strong interest in excellent learning shared through #GettingtoZero @gatesfoundation #Ebola https://t.co/MPJCLmt9M0,2020-01-16,14.92348090557007,11.642446835561348,positive
7,7,Human transmission of #WuhanPneumonia may be occuring as #Japan @NHKWorld_News confirms first case of #coronavirus… https://t.co/e544cklLu9,2020-01-16,21.01160788309671,2.3248968033427206,neutral
8,8,Cases traced to Mabalako still fueling DRC #Ebola outbreak https://t.co/RQq7RWpKEG,2020-01-16,27.417746204435073,2.847149833781206,neutral
9,9,"La enfermedad X podría matar a millones - advertencia de Bill Gates
La guerra NUCLEAR no es la mayor https://t.co/66T3BG0NTH #ebola",2020-01-16,24.642198429053256,6.012169795487143,neutral
10,10,"This is about trust, no social media strategy is going to fix broken trust. Its much deeper. How #war and… https://t.co/URenIo3Y8x",2020-01-16,24.77473683398093,1.7224814693188475,positive
11,11,"30 nuevos medicamentos aprobados en 2019 por la @EMA_News:

🔸 1/3 corresponden a las áreas de #hematología y… https://t.co/2MS92eERGI",2020-01-16,17.0145917037596,6.208914855123177,positive
12,12,"As global focus shifts to #WuhanSARS, good time to remember @WHO @MSF
@WHOGOARN partners and multiple responders st… https://t.co/4EYrvuHvTG",2020-01-16,21.60393161399954,3.9331825890578753,neutral
13,13,"”During a Public Health Emergency like the #Ebola virus the media has to be very careful on how they report it, dur… https://t.co/aCZIGlDwqX",2020-01-16,21.45150130440438,2.817502395515669,neutral
14,14,Three new confirmed #Ebola cases @WHO @MinSanteRDC https://t.co/pQ4yDtndkJ,2020-01-16,25.7393955949177,6.475096954800547,neutral
15,15,"@ombaggio Thank you for the conversation! What is specific to Eastern Congo that warrants a different approach, whi… https://t.co/MTisAtuC38",2020-01-16,23.61791990648624,1.7623981490256164,negative
