title,Lat,Long,Date
Administration makes case for emergency Ebola funds #ebola http://t.co/O95M0zN3Xl or http://t.co/y4XQ8SnNrU,12.876303769802764,0.23236044913816567,01/09/2014 02:43 PM
RT @UmaruFofana: #SierraLeone confirms 94 new #Ebola cases today with 53 in Freetown &amp; environs. It brings to 295 new cases in last 3 days.,14.62152847834058,3.842608269873775,01/10/2014 03:03 AM
Who will pay to stop Ebola?   http://t.co/hOeAMv3cZS  #americanpublic #ebola,14.238728724363979,3.715895369440199,01/10/2014 12:01 AM
Administration makes case for emergency Ebola funds #ebola http://t.co/ubM12j56KP,15.552209440314558,3.5739543812802417,01/10/2014 12:28 AM
RT @UmaruFofana: #SierraLeone confirms 94 new #Ebola cases today with 53 in Freetown &amp; environs. It brings to 295 new cases in last 3 days.,13.346282723858545,2.769126000443405,01/09/2014 10:07 PM
NOW LISTEN TO .@PoliticalJones tkg #Ebola &amp; #PublicHealth w/ .@docgriggs: http://t.co/mWLo4Vg446  http://t.co/43p3fkgWNS,10.744880724338065,5.127696393179482,01/09/2014 07:04 AM
"#Ebola death toll passes 5,000-mark: WHO",14.209300288022902,2.7344185349386834,01/09/2014 07:49 PM
African football latest victim of #Ebola after Morocco expelled from Cup of Nations tournament http://t.co/UahOe1lscZ http://t.co/IuHzjq6DFJ,12.1673606997297,2.6192352836759305,01/10/2014 03:50 AM
Kim Kardashian Distracting us from what\'s really going on... #ebola,14.68611937828154,0.39610596269583365,01/09/2014 05:06 PM
RT @RT_com: #US nurses strike over insufficient #Ebola protections http://t.co/iCYbZDlQkv http://t.co/CYku6t0gVU,14.940591146018956,0.009193314072587722,01/08/2014 07:38 PM
RT @LukeRussert: #USA media needs 2 b more concerned w 22 vets committing suicide a day &amp; vet unemployment rate than #Ebola or #MH370 http:…,13.435504632473297,4.323453583274533,01/08/2014 05:46 PM
"In Wake of #Ebola, Dentist Aims to Keep the Well... Well | #HIPAA #cloud http://t.co/BYHrFZNGNV",10.810560737440733,3.860392357600375,01/08/2014 01:57 PM
"Mali battles Ebola outbreak as African death toll passes 5,000 #mali #ebola. http://t.co/39ORXIj7KQ",10.775060268544488,3.2121276390487523,01/09/2014 11:30 AM
RT @Crof: #Ebola in Liberia: New cases in Grand Bassa county http://t.co/v5eSoTxZ09,13.433491900172084,4.3436928462547115,01/09/2014 05:55 AM
#Ebola outbreak deaths pass 5000 - BBC News http://t.co/u6KfswK3D7,15.936343212756078,3.3548522344173586,01/10/2014 04:32 AM
RT @AsCorrespondent: UN\'s Ban Ki-moon calls on Asia to step up #Ebola fight  http://t.co/yH3UkYPXfX  #Asia http://t.co/uv1hXYFXtM,15.571007521861162,0.9594311900478765,01/09/2014 01:39 PM
#CDC Covers Up #Ebola Information: http://t.co/LzBPwxSgUV via @YouTube,13.479339224567305,4.206889829909809,01/10/2014 04:10 AM
RT @FollowEbola: #Ebola crisis: Mali confirms second death. http://t.co/Z3nUvvefli,10.670413867301924,0.2648093557043185,01/09/2014 10:49 AM
Who plays a vital role in the care of patients with #Ebola? #Nurses do. http://t.co/nPJQT5OlcD via @rwjf,14.056787189202876,4.488536352246784,01/09/2014 08:14 PM
RT @FollowEbola: Bats Link to #Ebola Finally Solved. http://t.co/NsVsBM0486,12.78945189571598,2.2382950959367944,01/09/2014 03:01 PM
RT @makoto_au_japon: #WHO strives to enhance int\'l clinics readiness to prevent #Ebola spread - expert http://t.co/DlTVEBMTNj #GCC #Gulf,14.738710859840284,4.442802403526144,01/08/2014 10:46 PM
RT @makoto_au_japon: #MSF moves #Ebola preparedness training #online http://t.co/mLMy03Icyi #Africa,12.497626473111286,4.089466067339305,01/09/2014 01:44 PM
RT @makoto_au_japon: The Fight Against #Ebola Could Lead to Surge in #Measles and #Malaria http://t.co/iYXhw6qyP7 #Africa via @vivwalt,15.563295138299292,1.8314162984600322,01/08/2014 09:14 PM
RT @CHRISTMAS_EVIL: #CometLandingPeople on the moon = hoax.Washing machine on comet = same gag. Spend the money looking for #MH370 an…,11.457485968646852,2.4693796910539993,01/09/2014 07:57 PM
RT @dulaney_l: Did the U.S. Just Secretly Fly in an #African #Ebola Patient? http://t.co/P3ZdDbp8xp via @po_st  #obama #georgia,15.946134394836163,3.885608247561019,01/10/2014 03:25 AM
RT @makoto_au_japon: #Rwanda:Bayingana blasts teams for snubbing #Tour du Rwanda over #Ebola fears http://t.co/ywLflGJtSG #Africa #Cycling …,15.415485334915203,4.746094834693493,01/09/2014 08:36 AM
RT @drmannyonFOX: I\'ll be on #TheKellyFile tonight at 9PM ET talking about why I think @DrFriedenCDC should step down. #EBOLA,16.338682905116595,4.782159311933211,01/09/2014 06:01 PM
RT @makoto_au_japon: #Japan Donates #Ebola Preventive Kit To #Ghana http://t.co/deHXMFwGLB #Africa #donation http://t.co/tJHDuMOdS2,13.1496402140627,1.0058121340989272,01/09/2014 03:04 AM
RT @makoto_au_japon: #Japan: #Tokyo Govt Conducts #Ebola Response #Drill http://t.co/5tc8kINGKl #hospital,11.783761448130223,1.1193634962684296,01/09/2014 03:04 PM
RT @makoto_au_japon: #Japan: #Tokyo conducts #Ebola #drill http://t.co/265CMMfF1r #hospital,10.914039045304646,2.1962530510753457,01/09/2014 11:39 AM
RT @Liberationtech: Deploying Technology in the Fight Against #Ebola http://t.co/DYuOrgI7hk by @drjohnbates,12.439806000349767,2.9500773173094963,01/10/2014 01:43 AM
RT @RT_com: #US nurses strike over insufficient #Ebola protections http://t.co/iCYbZDlQkv http://t.co/CYku6t0gVU,12.637349321986875,3.653420177571972,01/10/2014 01:44 AM
RT @makoto_au_japon: #Samoa to stop incoming flights to prevent #Ebola http://t.co/yeD234Of65 #Africa #travel #guideline,12.008119357214492,0.9767823774091535,01/09/2014 12:45 AM
RT @makoto_au_japon: #US: #Georgia health officials refuse to name #Ebola hospitals http://t.co/tRZhgBc7RR #hospital,13.304543334015765,1.4825983493127035,01/09/2014 10:44 AM
#Ebola Lawmakers question Obama&amp;#039;s $6-billion request for Ebola funding   http://t.co/yxN1WGkCYn http://t.co/yg2fQkuHg6,12.375135573245702,3.059622601722485,01/08/2014 02:44 PM
RT @makoto_au_japon: #Trinidad &amp; #Tobago: #Ebola treatment centre ready http://t.co/aVZtt79dsY #TT #Caribbean,10.640852404313325,2.174415331479721,01/08/2014 08:19 PM
@UNDP providing important fail safe in fight against #Ebola. http://t.co/a0D7Q7QZ8x @UNMEER @DougUNDP @HelenClarkUNDP,16.17768959380599,5.102632199836948,01/09/2014 07:17 PM
RT @makoto_au_japon: #Israel: Watch: Israel sending #Ebola field hospital and staff to #Africa (Video) http://t.co/UqNdcDO8x1,10.599697911855683,-0.21319752411711157,01/08/2014 06:05 PM
RT @InfoEbola: “Your Blood Tested Positive for #Ebola. I Am Sorry.”Read Dr. Ada Ignohoh\'s story. Posted online by Bill Gates... http://t.…,12.391883727640117,2.003644242397032,01/09/2014 01:36 AM
A Poem: On the Arrival of Ebola in New York   http://t.co/lg5zqqrEtd  #ebola #funny #humor via @humortimes,15.531391341088668,5.096243806021756,01/09/2014 02:36 AM
"RT @makoto_au_japon: #Kazakhstan: No Kazakhstanis contracted #Ebola #virus in #Africa, MFA http://t.co/JxzKkKAA9K #Kazakh",15.35169598296752,2.702586376950197,01/09/2014 11:49 PM
"RT @seanparnell: British PM makes #ebola a #G20 priority. Aust PM last week said \""I don\'t think at this stage we want to over-estimate the …",14.680792816390133,2.0627653743920353,01/09/2014 04:05 AM
RT @RT_com: #US nurses strike over insufficient #Ebola protections http://t.co/iCYbZDlQkv http://t.co/CYku6t0gVU,15.799843549643779,5.0305937332858335,01/09/2014 06:02 AM
RT @makoto_au_japon: #Russia to begin testing its #Ebola drugs http://t.co/mi5rIu4IMC #Africa #drug,14.782258976481792,3.863626634460732,01/10/2014 01:56 AM
RT @RT_com: #US nurses strike over insufficient #Ebola protections http://t.co/iCYbZDlQkv http://t.co/CYku6t0gVU,13.37172563736312,5.2178916274516345,01/09/2014 05:19 AM
RT @makoto_au_japon: #APEC leaders determined to jointly fight #Ebola: Xi http://t.co/cJD6HVIAWi #China,12.587784136801817,2.400767215748229,01/08/2014 06:06 PM
Good to hear Joe Hockey confirm #Ebola is on the agenda at #G20 - plus this from David Cameron earlier http://t.co/LJCUwU3Air,10.886199202709584,5.258721607077381,01/09/2014 05:06 PM
Fran just told me she loved me and she doesn\'t want anything 😟 #EBOLA???,14.816505286868994,4.2499117952783445,01/10/2014 01:02 AM
"RT @kasujja: Africa, the land of simba, Cleopatra...oh and #Ebola! According to @TMZ.  Really? Humour? Ignorance? Indifference? http://t.co…",15.618904854449113,2.6405898832353456,01/08/2014 06:19 PM
Deploying Technology in the Fight Against #Ebola http://t.co/DYuOrgI7hk by @drjohnbates,13.316070508953679,0.9826432477687657,01/10/2014 02:15 AM
Clinical Care of Two Patients with #Ebola Virus Disease in the United States http://t.co/300NOKkpiy,14.890860550120838,4.745869569624522,01/10/2014 04:41 AM
RT @NewsonEbola: #Ebola #EbolaOutbreak Thomas Eric Duncan\'s Family Reaches \'Resolution\' With Dallas Hospital In Ebola Case http://t.co/DIcW…,16.434177337658607,1.9568958939829733,01/08/2014 05:06 PM
RT @RainaMacIntyre: #Ebola and why it matters - 10 min summary &amp; what you can do @UNSW Alliance against Ebola. http://t.co/SfbP7taVSH  @Joe…,15.352463236479396,5.189162698165873,01/09/2014 06:10 PM
"RT @dulaney_l: As If #Ebola Weren\'t Bad Enough, Here\'s Another Deadly #Disease Invading America Across The #Border http://t.co/SDvDIy4rzv v…",14.154669706012871,-0.48485644158044927,01/10/2014 02:43 AM
#Ebola season 3 ep13 http://t.co/zwrYpoElgq,15.016339426582277,3.9435451271942563,01/09/2014 01:38 AM
"RT seanparnell: British PM makes #ebola a #G20 priority. Aust PM last week said \""I don\'t think at this stage we want to over-estimate the...",14.686069745950583,5.3590225681983155,01/09/2014 09:46 AM
