,Unnamed: 0,Tweets,Dates,Longitude,Latitude,Sentiment,,,
0,0,"It was great to host our colleagues from @EC_StockholmRep today at our premises.

Talked about our mission and poss… https://t.co/sPfc9ekcMQ",2020-01-16,47.6866097643391,54.8672994159749,neutral,,,
1,1,#phep #globalhealth #Ebola #smem https://t.co/M3yjsPeR46,2020-01-16,50.7747311537342,56.0427831123662,positive,,,
2,2,#Ebola in #DRC . Cases traced to Mabalako still fueling DRC Ebola outbreak https://t.co/R1TTcNymSf,2020-01-16,48.3257303810097,60.5993989685159,neutral,,,
3,3,"My first opinion piece for 2020 is for Project Syndicate @ProSyn : 👉👉 Why an #Ebola Vaccine Is Not Enough.
https://t.co/4SHKubijCc",2020-01-16,46.9649628731617,61.9338764339038,neutral,,,
4,4,"Ease of movement in #DRC allows people to put food on the table, keep children in school, sell goods &amp; seek refuge… https://t.co/OiM6QYl4Ej",2020-01-16,45.042910028684,56.7013940360187,neutral,,,
5,5,Advanced #Diagnostics for Infectious Disease's final program is now online! Our opening session features… https://t.co/RzUX36vOm4,2020-01-16,48.490412845463,53.6868935368613,neutral,,,
6,6,Great to see strong interest in excellent learning shared through #GettingtoZero @gatesfoundation #Ebola https://t.co/MPJCLmt9M0,2020-01-16,52.8968296346305,59.4028922208837,positive,,,
7,7,Human transmission of #WuhanPneumonia may be occuring as #Japan @NHKWorld_News confirms first case of #coronavirus… https://t.co/e544cklLu9,2020-01-16,51.0530185322461,56.765418347626,neutral,,,
8,8,Cases traced to Mabalako still fueling DRC #Ebola outbreak https://t.co/RQq7RWpKEG,2020-01-16,51.3329134796782,58.7166608452737,neutral,,,
9,9,"La enfermedad X podría matar a millones - advertencia de Bill Gates
La guerra NUCLEAR no es la mayor https://t.co/66T3BG0NTH #ebola",2020-01-16,52.5297024619771,59.5496213743125,neutral,,,
10,10,"This is about trust, no social media strategy is going to fix broken trust. Its much deeper. How #war and… https://t.co/URenIo3Y8x",2020-01-16,49.6113144545088,55.6153319411294,positive,,,
11,11,"30 nuevos medicamentos aprobados en 2019 por la @EMA_News:

🔸 1/3 corresponden a las áreas de #hematología y… https://t.co/2MS92eERGI",2020-01-16,50.3336484170797,55.5048560808761,positive,,,
12,12,"As global focus shifts to #WuhanSARS, good time to remember @WHO @MSF
@WHOGOARN partners and multiple responders st… https://t.co/4EYrvuHvTG",2020-01-16,45.1778438500644,54.3855980267738,neutral,,,
13,13,"”During a Public Health Emergency like the #Ebola virus the media has to be very careful on how they report it, dur… https://t.co/aCZIGlDwqX",2020-01-16,51.7932808933972,59.8347990929717,neutral,,,
14,14,Three new confirmed #Ebola cases @WHO @MinSanteRDC https://t.co/pQ4yDtndkJ,2020-01-16,50.4770017881485,60.1621908299615,neutral,,,
15,15,"@ombaggio Thank you for the conversation! What is specific to Eastern Congo that warrants a different approach, whi… https://t.co/MTisAtuC38",2020-01-16,53.0865924429366,58.6553341739744,negative,,,
16,16,Human Transmission Of New Coronavirus May Be Occuring, Ebola Outbreak Stabilizes https://t.co/Ti4FmO91AV… https://t.co/J1UpXXu67n,2020-01-16,50.688974110277,61.9609206039797,neutral,,
17,17,#Ebola en #RDC        https://t.co/XOq82C1HMd,2020-01-16,46.8600264922966,60.0650835523562,neutral,,,
18,18,"This update includes news on the #Ebola vaccine, #infectious disease in China, #dengue in SEA, #tobacco control,… https://t.co/vxDmJCAlvr",2020-01-16,48.2932306404148,55.395997388834,positive,,,
19,19,"Amahugurwa y’abanyamakuru kuri Ebola: Abanyamakuru bakwiye kuba nyambere mu gutanga amakuru yizewe, kugenzura neza… https://t.co/atS2SZRu2G",2020-01-16,51.8048241153496,59.7641613371642,neutral,,,
20,20,"La Enfermedad X necesita investigación urgente como el Ébola 2019
Las enfermedades virales son una de las https://t.co/S0cEP9nWUK #ebola",2020-01-16,51.3714221440631,57.3807664797531,negative,,,
21,21,Journalists from different media houses are being  enlightened on how to report public health emergencies… https://t.co/TqTwAl71mi,2020-01-16,49.5449398277782,60.8951776596872,positive,,,
22,22,Journalists from different media houses are being  enlightened on how to report public health emergencies… https://t.co/jRTGecIuOX,2020-01-16,49.0032761082375,57.8238397342764,neutral,,,
23,23,"""El #Ebola mata dos veces"".
Artículo de @Hache_Hache 
https://t.co/ueSFTopdb1",2020-01-16,52.8031639737694,51.2874489808531,positive,,,
24,24,"“Media will internationalize a Public Health crisis and this will help in tackling it... “ -Rajat Madhok 

#Ebola… https://t.co/WEyWl1Odap",2020-01-16,45.6797506853837,60.8309383653023,neutral,,,
25,25,"@VincentCrypt46 @Jordan_Sather_ Virus?  #Ebola
Vaccine by J&amp;J approved JUST LAST WEEK 

https://t.co/b7u0452GaA

An… https://t.co/JJ6N75CgEk",2020-01-16,47.6231803200078,60.6899690526056,neutral,,,
26,26,"“In early 80s and 90s American Journalists massively informed the world about HIV,  never underestimate the role of… https://t.co/5eB5urnWxX",2020-01-16,48.9107073432186,54.9059797857817,neutral,,,
27,27,"@RajatMadhok : the media helps set the agenda, monitors appropriateness of response to the emergency and helps to '… https://t.co/ZH81Scgz6d",2020-01-16,53.1446936736636,60.5603590514853,neutral,,,
28,28,@unicefrw communication Expert shared his experience on the role of Mass Media in informing the public about the pr… https://t.co/buaXW3Teu9,2020-01-16,50.087546249937,56.766574610674,neutral,,,
29,29,#Ebola-Ausbruch: Tod aus dem Regenwald https://t.co/7iwbl2Fo3n https://t.co/2jb5OZTCiw,2020-01-16,50.0638692171172,51.9273008351765,neutral,,,
30,30,“The Mobile Journalism is and will be key in informing communities about a certain Public Health Emergence like… https://t.co/o4Gw3Tw5gE,2020-01-16,49.5298505827139,60.9772132127789,neutral,,,
31,31,"With @RBCRwanda and @arjrwanda, we're training journalists from across Rwanda on #Ebola. 

#TwirindeEbola https://t.co/LsCz7sSdFl",2020-01-16,51.8089827980942,56.8796636855799,neutral,,,
32,32,Zones de santé les plus affectées par le #virus #Ebola en #RDC et nombre de #vaccinations effectuées https://t.co/2IyVqjaegm,2020-01-16,50.7079234513434,56.9517673269369,neutral,,,
33,33,Local and international journalists being empowered with knowledge on how to better report public health emergencie… https://t.co/k1MyXlz0n6,2020-01-16,51.2742612965935,54.5112481454422,neutral,,,
34,34,Cumul des cas d '#Ebola en #RDC au 14 janvier 2020 https://t.co/3pgeVkkJOH,2020-01-16,48.0461815758204,53.7572799705196,neutral,,,
35,35,Suivi de l '#épidémie d' #Ebola en #RDC au 15 janvier 2020 https://t.co/hVbgL0SE3Q,2020-01-16,48.5100429620166,55.2317531173008,neutral,,,
36,36,Mr @AldoHavugimana chairman of @arjrwanda officiated a 3 days training of Journalists on Ebola prevention. He insis… https://t.co/CarV6BzXdD,2020-01-16,47.4479526165429,52.2829294708879,neutral,,,
37,37,@RwandaHealth spokesman Kayumba: Media is a core partner in preventing and preparedness for epidemics. #Ebola #Rwanda @unicefrw @arjrwanda,2020-01-16,45.3626716195022,60.3126836019148,neutral,,,
